From	To
ENSG00000196277	2917
ENSG00000119661	83544
ENSG00000126561	6776
ENSG00000126562	65266
ENSG00000185813	5833
ENSG00000147955	10280
ENSG00000185811	10320
ENSG00000159461	267
ENSG00000185803	79581
ENSG00000124302	64377
ENSG00000185808	51227
ENSG00000011405	5286
ENSG00000119669	64207
ENSG00000183640	337879
ENSG00000159455	26239
ENSG00000198569	142680
ENSG00000000457	57147
ENSG00000170860	27258
ENSG00000183644	399949
ENSG00000159459	197131
ENSG00000141956	63977
ENSG00000156738	931
ENSG00000198561	1500
ENSG00000156735	9530
ENSG00000102032	5973
ENSG00000102034	2000
ENSG00000141946	114026
ENSG00000102038	6594
ENSG00000183638	94137
ENSG00000011451	58525
ENSG00000171903	57834
ENSG00000170854	84864
ENSG00000159450	7062
ENSG00000170855	51499
ENSG00000011454	23637
ENSG00000118194	7139
ENSG00000158711	2005
ENSG00000159445	117145
ENSG00000170852	25948
ENSG00000118193	9928
ENSG00000151498	27034
ENSG00000158710	8407
ENSG00000183654	441061
ENSG00000183655	64410
ENSG00000198556	285989
ENSG00000151491	2059
ENSG00000198551	199692
